,latitude,longitude
count,15600.0,15600.0
mean,38.808273902654975,-90.3839770125982
std,2.9493674575739997,21.337843620235738
min,33.710582542961234,-122.50963522313911
25%,37.70990061113082,-118.32416640608956
50%,40.68394187623768,-73.99975472873021
75%,40.75782529810859,-73.95074314805703
max,42.390247544263616,-71.0021227970042
